Parameter Name,Increment,Range Min,Range Max
TELEM_DELAY,1,0,30
STAB_PITCH_DOWN,0.1,0,15
GLIDE_SLOPE_MIN,1,0,1000
GLIDE_SLOPE_THR,1,0,100
TKOFF_THR_MINSPD,0.1,0,30
TKOFF_THR_MINACC,0.1,0,30
TKOFF_THR_DELAY,1,0,127
TKOFF_THR_MAX_T,0.5,0,10
TKOFF_TDRAG_ELEV,1,-100,100
TKOFF_TDRAG_SPD1,0.1,0,30
TKOFF_ROTATE_SPD,0.1,0,30
TKOFF_THR_SLEW,1,-1,127
TKOFF_PLIM_SEC,0.5,0,10
TKOFF_FLAP_PCNT,1,0,100
LEVEL_ROLL_LIMIT,1,0,45
ALT_OFFSET,1,-32767,32767
WP_RADIUS,1,1,32767
WP_MAX_RADIUS,1,0,32767
WP_LOITER_RAD,1,-32767,32767
RTL_RADIUS,1,-32767,32767
AIRSPEED_MIN,1,5,100
AIRSPEED_MAX,1,5,100
FBWB_CLIMB_RATE,0.1,1,10
THR_MIN,1,-100,100
THR_MAX,1,0,100
TKOFF_THR_MAX,1,0,100
THR_SLEWRATE,1,0,127
FLAP_SLEWRATE,1,0,100
TRIM_THROTTLE,1,0,100
FS_SHORT_TIMEOUT,0.5,1,100
FS_LONG_TIMEOUT,0.5,1,300
ROLL_LIMIT_DEG,1,0,90
PTCH_LIM_MAX_DEG,1,0,90
PTCH_LIM_MIN_DEG,1,-90,0
ACRO_ROLL_RATE,1,10,500
ACRO_PITCH_RATE,1,10,500
ACRO_YAW_RATE,1,0,500
GROUND_STEER_ALT,0.1,-100,100
GROUND_STEER_DPS,1,10,360
SCALING_SPEED,0.1,0,50
FLAP_1_PERCNT,1,0,100
FLAP_1_SPEED,1,0,100
FLAP_2_PERCNT,1,0,100
FLAP_2_SPEED,1,0,100
CRASH_ACC_THRESH,1,10,127
RUDD_DT_GAIN,1,0,100
DSPOILER_CROW_W1,1,0,100
DSPOILER_CROW_W2,1,0,100
TKOFF_TIMEOUT,1,0,120
DSPOILER_AILMTCH,1,0,100
FWD_BAT_VOLT_MAX,0.1,6,35
FWD_BAT_VOLT_MIN,0.1,6,35
RTL_CLIMB_MIN,1,0,30
AHRS_WIND_MAX,1,0,127
AHRS_TRIM_X,0.01,-0.1745,+0.1745
AHRS_TRIM_Y,0.01,-0.1745,+0.1745
AHRS_TRIM_Z,0.01,-0.1745,+0.1745
AHRS_CUSTOM_ROLL,1,-180,180
AHRS_CUSTOM_PIT,1,-180,180
AHRS_CUSTOM_YAW,1,-180,180
ARMING_BBOX_SPD,1,1,20
ARMING_BBOX_SPD,1,1,20
BARO_FLTR_RNG,1,0,100
BARO_ALTERR_MAX,1,0,5000
BATT2_LOW_TIMER,1,0,120
BATT3_LOW_TIMER,1,0,120
BATT4_LOW_TIMER,1,0,120
BATT5_LOW_TIMER,1,0,120
BATT6_LOW_TIMER,1,0,120
BATT7_LOW_TIMER,1,0,120
BATT8_LOW_TIMER,1,0,120
BATT9_LOW_TIMER,1,0,120
BATTA_LOW_TIMER,1,0,120
BATTB_LOW_TIMER,1,0,120
BATTC_LOW_TIMER,1,0,120
BATTD_LOW_TIMER,1,0,120
BATTE_LOW_TIMER,1,0,120
BATTF_LOW_TIMER,1,0,120
BATTG_LOW_TIMER,1,0,120
BATT_LOW_TIMER,1,0,120
BRD_VBUS_MIN,0.1,4.0,5.5
BRD_VSERVO_MIN,0.1,3.3,12.0
CHUTE_SERVO_ON,1,1000,2000
CHUTE_SERVO_OFF,1,1000,2000
CHUTE_ALT_MIN,1,0,32000
CHUTE_DELAY_MS,1,0,5000
CHUTE_CRT_SINK,1,0,15
COMPASS_OFS_Z,1,-400,400
COMPASS_DEC,0.01,-3.142,3.142
COMPASS_MOT_Z,1,-1000,1000
COMPASS_OFS2_Z,1,-400,400
COMPASS_MOT2_Z,1,-1000,1000
COMPASS_OFS3_Z,1,-400,400
COMPASS_MOT3_Z,1,-1000,1000
COMPASS_FLTR_RNG,1,0,100
COMPASS_CUS_ROLL,1,-180,180
COMPASS_CUS_PIT,1,-180,180
COMPASS_CUS_YAW,1,-180,180
EK2_VELNE_M_NSE,0.05,0.05,5.0
EK2_VELD_M_NSE,0.05,0.05,5.0
EK2_POSNE_M_NSE,0.1,0.1,10.0
EK2_GLITCH_RAD,5,10,100
EK2_ALT_M_NSE,0.1,0.1,10.0
EK2_HGT_DELAY,10,0,250
EK2_MAG_M_NSE,0.01,0.01,0.5
EK2_EAS_M_NSE,0.1,0.5,5.0
EK2_RNG_M_NSE,0.1,0.1,10.0
EK2_MAX_FLOW,0.1,1.0,4.0
EK2_FLOW_M_NSE,0.05,0.05,1.0
EK2_FLOW_DELAY,10,0,127
EK2_GYRO_P_NSE,0.0001,0.0001,0.1
EK2_ACC_P_NSE,0.01,0.01,1.0
EK2_WIND_P_NSE,0.1,0.01,1.0
EK2_YAW_M_NSE,0.05,0.05,1.0
EK2_TAU_OUTPUT,5,10,50
EK2_RNG_USE_HGT,1,-1,70
EK2_BCN_M_NSE,0.1,0.1,10.0
EK2_BCN_DELAY,10,0,127
EK2_RNG_USE_SPD,0.5,2.0,6.0
EK3_VELNE_M_NSE,0.05,0.05,5.0
EK3_VELD_M_NSE,0.05,0.05,5.0
EK3_POSNE_M_NSE,0.1,0.1,10.0
EK3_GLITCH_RAD,5,10,100
EK3_ALT_M_NSE,0.1,0.1,100.0
EK3_HGT_DELAY,10,0,250
EK3_MAG_M_NSE,0.01,0.01,0.5
EK3_EAS_M_NSE,0.1,0.5,5.0
EK3_RNG_M_NSE,0.1,0.1,10.0
EK3_MAX_FLOW,0.1,1.0,4.0
EK3_FLOW_M_NSE,0.05,0.05,1.0
EK3_FLOW_DELAY,10,0,250
EK3_GYRO_P_NSE,0.0001,0.0001,0.1
EK3_ACC_P_NSE,0.01,0.01,1.0
EK3_WIND_P_NSE,0.1,0.01,2.0
EK3_YAW_M_NSE,0.05,0.05,1.0
EK3_TAU_OUTPUT,5,10,50
EK3_RNG_USE_HGT,1,-1,70
EK3_BCN_M_NSE,0.1,0.1,10.0
EK3_BCN_DELAY,10,0,250
EK3_RNG_USE_SPD,0.5,2.0,6.0
EK3_ACC_BIAS_LIM,0.1,0.5,2.5
EK3_VIS_VERR_MIN,0.05,0.05,0.5
EK3_VIS_VERR_MAX,0.1,0.5,5.0
EK3_WENC_VERR,0.1,0.01,1.0
EK3_DRAG_M_NSE,0.1,0.1,2.0
EK3_DRAG_MCOEF,0.01,0.0,1.0
EK3_GPS_VACC_MAX,0.1,0.0,10.0
FENCE_ALT_MAX,1,10,1000
FENCE_ALT_MIN,1,-100,100
FENCE_RET_ALT,1,0,32767
FLOW_ORIENT_YAW,10,-17999,+18000
FLOW_POS_X,0.01,-5,5
FLOW_POS_Y,0.01,-5,5
FLOW_POS_Z,0.01,-5,5
FLOW_HGT_OVR,0.01,0,2
FOLL_OFS_X,1,-100,100
FOLL_OFS_Y,1,-100,100
FOLL_OFS_Z,1,-100,100
GPS_POS1_X,0.01,-5,5
GPS_POS1_Y,0.01,-5,5
GPS_POS1_Z,0.01,-5,5
GPS_POS2_X,0.01,-5,5
GPS_POS2_Y,0.01,-5,5
GPS_POS2_Z,0.01,-5,5
GPS1_POS_X,0.01,-5,5
GPS1_POS_Y,0.01,-5,5
GPS1_POS_Z,0.01,-5,5
GPS1_MB_OFS_X,0.01,-5,5
GPS1_MB_OFS_Y,0.01,-5,5
GPS1_MB_OFS_Z,0.01,-5,5
GPS2_POS_X,0.01,-5,5
GPS2_POS_Y,0.01,-5,5
GPS2_POS_Z,0.01,-5,5
GPS2_MB_OFS_X,0.01,-5,5
GPS2_MB_OFS_Y,0.01,-5,5
GPS2_MB_OFS_Z,0.01,-5,5
GPS_MB1_OFS_X,0.01,-5,5
GPS_MB1_OFS_Y,0.01,-5,5
GPS_MB1_OFS_Z,0.01,-5,5
GPS_MB2_OFS_X,0.01,-5,5
GPS_MB2_OFS_Y,0.01,-5,5
GPS_MB2_OFS_Z,0.01,-5,5
INS_POS1_X,0.01,-5,5
INS_POS1_Y,0.01,-5,5
INS_POS1_Z,0.01,-5,5
INS_POS2_X,0.01,-5,5
INS_POS2_Y,0.01,-5,5
INS_POS2_Z,0.01,-5,5
INS_POS3_Y,0.01,-5,5
INS_POS3_Z,0.01,-5,5
INS4_POS_X,0.01,-5,5
INS4_POS_Y,0.01,-5,5
INS4_POS_Z,0.01,-5,5
INS5_POS_X,0.01,-5,5
INS5_POS_Y,0.01,-5,5
INS5_POS_Z,0.01,-5,5
LAND_SLOPE_RCALC,0.5,0,5
LAND_SLOPE_RCALC,0.5,0,5
LAND_ABORT_DEG,0.1,0,90
LAND_PITCH_DEG,10,-20,20
LAND_FLARE_ALT,0.1,0,30
LAND_FLARE_SEC,0.1,0,10
LAND_PF_ALT,0.1,0,30
LAND_PF_SEC,0.1,0,10
LAND_PF_ARSPD,0.1,0,30
LAND_THR_SLEW,1,0,127
LAND_DISARMDELAY,1,0,127
LAND_FLAP_PERCNT,1,0,100
LAND_FLARE_AIM,1,0,100
LAND_WIND_COMP,1,0,100
LGR_DEPLOY_ALT,1,0,1000
LGR_RETRACT_ALT,1,0,1000
LOG_FILE_RATEMAX,0.1,0,1000
LOG_MAV_RATEMAX,0.1,0,1000
LOG_BLK_RATEMAX,0.1,0,1000
LOG_DARM_RATEMAX,0.1,0,1000
MIS_TOTAL,1,0,32766
MIS_TOTAL,1,0,32766
MNT1_RC_RATE,1,0,90
MNT1_ROLL_MIN,1,-180,180
MNT1_ROLL_MAX,1,-180,180
MNT1_PITCH_MIN,1,-90,90
MNT1_PITCH_MAX,1,-90,90
MNT1_YAW_MIN,1,-180,180
MNT1_YAW_MAX,1,-180,180
MNT1_RETRACT_X,1,-180.0,180.0
MNT1_RETRACT_Y,1,-180.0,180.0
MNT1_RETRACT_Z,1,-180.0,180.0
MNT1_NEUTRAL_X,1,-180.0,180.0
MNT1_NEUTRAL_Y,1,-180.0,180.0
MNT1_NEUTRAL_Z,1,-180.0,180.0
MNT1_LEAD_RLL,.005,0.0,0.2
MNT1_LEAD_PTCH,.005,0.0,0.2
MNT2_RC_RATE,1,0,90
MNT2_ROLL_MIN,1,-180,180
MNT2_ROLL_MAX,1,-180,180
MNT2_PITCH_MIN,1,-90,90
MNT2_PITCH_MAX,1,-90,90
MNT2_YAW_MIN,1,-180,180
MNT2_YAW_MAX,1,-180,180
MNT2_RETRACT_X,1,-180.0,180.0
MNT2_RETRACT_Y,1,-180.0,180.0
MNT2_RETRACT_Z,1,-180.0,180.0
MNT2_NEUTRAL_X,1,-180.0,180.0
MNT2_NEUTRAL_Y,1,-180.0,180.0
MNT2_NEUTRAL_Z,1,-180.0,180.0
MNT2_LEAD_RLL,.005,0.0,0.2
MNT2_LEAD_PTCH,.005,0.0,0.2
NAVL1_PERIOD,1,1,60
NAVL1_PERIOD,1,1,60
NMEA_RATE_MS,1,20,2000
NMEA_RATE_MS,1,20,2000
PLND_YAW_ALIGN,10,0,36000
PLND_LAND_OFS_X,1,-20,20
PLND_LAND_OFS_Y,1,-20,20
PLND_CAM_POS_X,0.01,-5,5
PLND_CAM_POS_Y,0.01,-5,5
PLND_CAM_POS_Z,0.01,-5,5
PLND_LAG,1,0.02,0.250
PTCH2SRV_TCONST,0.1,0.4,1.0
PTCH2SRV_TCONST,0.1,0.4,1.0
PTCH2SRV_RMAX_UP,1,0,100
PTCH2SRV_RMAX_DN,1,0,100
PTCH_RATE_FLTT,1,2,50
PTCH_RATE_FLTE,1,2,50
PTCH_RATE_FLTD,1,0,50
Q_ANGLE_MAX,10,1000,8000
Q_PILOT_SPD_UP,0.1,0.5,5
Q_PILOT_SPD_DN,0.1,0.5,5
Q_PILOT_ACCEL_Z,0.1,0.5,5
Q_RC_SPEED,10,50,500
Q_ASSIST_SPEED,0.1,0,100
Q_YAW_RATE_MAX,1,50,500
Q_LAND_FINAL_SPD,0.1,0.3,2
Q_LAND_FINAL_ALT,0.1,0.5,50
Q_TRAN_PIT_MAX,1,0,30
Q_RTL_ALT,1,1,200
Q_VFWD_ALT,0.25,0,10
Q_ASSIST_ANGLE,1,0,90
Q_TRANS_DECEL,0.1,0.2,5
Q_TRIM_PITCH,0.1,-10,+10
Q_FW_LND_APR_RAD,5,0,200
Q_TRANS_FAIL,1,0,20
Q_ACRO_RLL_RATE,1,10,500
Q_ACRO_PIT_RATE,1,10,500
Q_ACRO_YAW_RATE,1,10,500
Q_TKOFF_ARSP_LIM,1,0,20
Q_ASSIST_ALT,1,0,120
Q_ASSIST_DELAY,0.1,0,2
Q_LAND_ALTCHG,0.05,0.1,0.6
Q_RTL_ALT_MIN,1,1,200
Q_FWD_PIT_LIM,0.1,0.0,5.0
Q_BCK_PIT_LIM,0.1,0.0,15.0
Q_A_SLEW_YAW,100,500,18000
Q_A_SLEW_YAW,100,500,18000
Q_A_RAT_RLL_FLTT,1,5,100
Q_A_RAT_RLL_FLTE,1,0,100
Q_A_RAT_RLL_FLTD,1,5,100
Q_A_RAT_PIT_FLTT,1,5,100
Q_A_RAT_PIT_FLTE,1,0,100
Q_A_RAT_PIT_FLTD,1,5,100
Q_A_RAT_YAW_FLTT,1,1,50
Q_A_RAT_YAW_FLTE,1,0,20
Q_A_RAT_YAW_FLTD,1,5,50
Q_LOIT_ANG_MAX,1,0,45
Q_LOIT_ANG_MAX,1,0,45
Q_LOIT_SPEED,50,20,3500
Q_LOIT_ACC_MAX,1,100,981
Q_LOIT_BRK_ACCEL,1,25,250
Q_LOIT_BRK_JERK,1,500,5000
Q_LOIT_BRK_DELAY,0.1,0,2
Q_M_YAW_SV_ANGLE,1,5,80
Q_M_SPOOL_TIME,0.1,0.05,2
Q_M_SLEW_UP_TIME,0.001,0,.5
Q_M_SLEW_DN_TIME,0.001,0,.5
Q_M_SAFE_TIME,0.001,0,5
Q_M_SPOOL_TIM_DN,0.001,0,2
Q_P_ACC_XY_FILT,0.1,0.5,5
Q_P_ACC_XY_FILT,0.1,0.5,5
Q_P_ACCZ_FLTT,1,1,50
Q_P_ACCZ_FLTE,1,1,100
Q_P_ACCZ_FLTD,1,1,100
Q_P_VELXY_IMAX,10,0,4500
Q_P_ANGLE_MAX,1,0,45
Q_P_JERK_XY,1,1,20
Q_P_JERK_Z,1,5,50
Q_TILT_RATE_UP,1,10,300
Q_TILT_MAX,1,20,80
Q_TILT_RATE_DN,1,10,300
Q_TILT_WING_FLAP,1,0,15
Q_WP_SPEED,50,20,2000
Q_WP_SPEED,50,20,2000
Q_WP_RADIUS,1,5,1000
Q_WP_SPEED_UP,50,10,1000
Q_WP_SPEED_DN,10,10,500
Q_WP_ACCEL,10,50,500
Q_WP_ACCEL_Z,10,50,500
Q_WP_ACCEL_C,10,0,500
Q_WVANE_ANG_MIN,0.1,0,10
Q_WVANE_HGT_MIN,1,0,50
Q_WVANE_SPD_MAX,0.1,0,50
Q_WVANE_VELZ_MAX,0.1,0,5
RC10_MIN,1,800,2200
RC10_MIN,1,800,2200
RC10_TRIM,1,800,2200
RC10_MAX,1,800,2200
RC11_MIN,1,800,2200
RC11_MIN,1,800,2200
RC11_TRIM,1,800,2200
RC11_MAX,1,800,2200
RC12_MIN,1,800,2200
RC12_MIN,1,800,2200
RC12_TRIM,1,800,2200
RC12_MAX,1,800,2200
RC13_MIN,1,800,2200
RC13_MIN,1,800,2200
RC13_TRIM,1,800,2200
RC13_MAX,1,800,2200
RC14_MIN,1,800,2200
RC14_MIN,1,800,2200
RC14_TRIM,1,800,2200
RC14_MAX,1,800,2200
RC15_MIN,1,800,2200
RC15_MIN,1,800,2200
RC15_TRIM,1,800,2200
RC15_MAX,1,800,2200
RC16_MIN,1,800,2200
RC16_MIN,1,800,2200
RC16_TRIM,1,800,2200
RC16_MAX,1,800,2200
RC1_MIN,1,800,2200
RC1_MIN,1,800,2200
RC1_TRIM,1,800,2200
RC1_MAX,1,800,2200
RC2_MIN,1,800,2200
RC2_MIN,1,800,2200
RC2_TRIM,1,800,2200
RC2_MAX,1,800,2200
RC3_MIN,1,800,2200
RC3_MIN,1,800,2200
RC3_TRIM,1,800,2200
RC3_MAX,1,800,2200
RC4_MIN,1,800,2200
RC4_MIN,1,800,2200
RC4_TRIM,1,800,2200
RC4_MAX,1,800,2200
RC5_MIN,1,800,2200
RC5_MIN,1,800,2200
RC5_TRIM,1,800,2200
RC5_MAX,1,800,2200
RC6_MIN,1,800,2200
RC6_MIN,1,800,2200
RC6_TRIM,1,800,2200
RC6_MAX,1,800,2200
RC7_MIN,1,800,2200
RC7_MIN,1,800,2200
RC7_TRIM,1,800,2200
RC7_MAX,1,800,2200
RC8_MIN,1,800,2200
RC8_MIN,1,800,2200
RC8_TRIM,1,800,2200
RC8_MAX,1,800,2200
RC9_MIN,1,800,2200
RC9_MIN,1,800,2200
RC9_TRIM,1,800,2200
RC9_MAX,1,800,2200
RLL2SRV_TCONST,0.1,0.4,1.0
RLL2SRV_TCONST,0.1,0.4,1.0
RLL2SRV_RMAX,1,0,180
RLL_RATE_FLTT,1,2,50
RLL_RATE_FLTE,1,2,50
RLL_RATE_FLTD,1,0,50
RNGFND1_GNDCLEAR,1,5,127
RNGFND1_POS_X,0.01,-5,5
RNGFND1_POS_Y,0.01,-5,5
RNGFND1_POS_Z,0.01,-5,5
RNGFND2_GNDCLEAR,1,5,127
RNGFND2_POS_X,0.01,-5,5
RNGFND2_POS_Y,0.01,-5,5
RNGFND2_POS_Z,0.01,-5,5
RNGFND3_GNDCLEAR,1,5,127
RNGFND3_POS_X,0.01,-5,5
RNGFND3_POS_Y,0.01,-5,5
RNGFND3_POS_Z,0.01,-5,5
RNGFND4_GNDCLEAR,1,5,127
RNGFND4_POS_X,0.01,-5,5
RNGFND4_POS_Y,0.01,-5,5
RNGFND4_POS_Z,0.01,-5,5
RNGFND5_GNDCLEAR,1,5,127
RNGFND5_POS_X,0.01,-5,5
RNGFND5_POS_Y,0.01,-5,5
RNGFND5_POS_Z,0.01,-5,5
RNGFND6_GNDCLEAR,1,5,127
RNGFND6_POS_X,0.01,-5,5
RNGFND6_POS_Y,0.01,-5,5
RNGFND6_POS_Z,0.01,-5,5
RNGFND7_GNDCLEAR,1,5,127
RNGFND7_POS_X,0.01,-5,5
RNGFND7_POS_Y,0.01,-5,5
RNGFND7_POS_Z,0.01,-5,5
RNGFND8_GNDCLEAR,1,5,127
RNGFND8_POS_X,0.01,-5,5
RNGFND8_POS_Y,0.01,-5,5
RNGFND8_POS_Z,0.01,-5,5
RNGFND9_GNDCLEAR,1,5,127
RNGFND9_POS_X,0.01,-5,5
RNGFND9_POS_Y,0.01,-5,5
RNGFND9_POS_Z,0.01,-5,5
RNGFNDA_GNDCLEAR,1,5,127
RNGFNDA_POS_X,0.01,-5,5
RNGFNDA_POS_Y,0.01,-5,5
RNGFNDA_POS_Z,0.01,-5,5
RSSI_PIN_LOW,0.01,0,5.0
RSSI_PIN_HIGH,0.01,0,5.0
SERVO10_MIN,1,800,2200
SERVO10_MIN,1,800,2200
SERVO10_MAX,1,800,2200
SERVO10_TRIM,1,800,2200
SERVO11_MIN,1,800,2200
SERVO11_MIN,1,800,2200
SERVO11_MAX,1,800,2200
SERVO11_TRIM,1,800,2200
SERVO12_MIN,1,800,2200
SERVO12_MIN,1,800,2200
SERVO12_MAX,1,800,2200
SERVO12_TRIM,1,800,2200
SERVO13_MIN,1,800,2200
SERVO13_MIN,1,800,2200
SERVO13_MAX,1,800,2200
SERVO13_TRIM,1,800,2200
SERVO14_MIN,1,800,2200
SERVO14_MIN,1,800,2200
SERVO14_MAX,1,800,2200
SERVO14_TRIM,1,800,2200
SERVO15_MIN,1,800,2200
SERVO15_MIN,1,800,2200
SERVO15_MAX,1,800,2200
SERVO15_TRIM,1,800,2200
SERVO16_MIN,1,800,2200
SERVO16_MIN,1,800,2200
SERVO16_MAX,1,800,2200
SERVO16_TRIM,1,800,2200
SERVO17_MIN,1,800,2200
SERVO17_MIN,1,800,2200
SERVO17_MAX,1,800,2200
SERVO17_TRIM,1,800,2200
SERVO18_MIN,1,800,2200
SERVO18_MIN,1,800,2200
SERVO18_MAX,1,800,2200
SERVO18_TRIM,1,800,2200
SERVO19_MIN,1,800,2200
SERVO19_MIN,1,800,2200
SERVO19_MAX,1,800,2200
SERVO19_TRIM,1,800,2200
SERVO1_MIN,1,800,2200
SERVO1_MIN,1,800,2200
SERVO1_MAX,1,800,2200
SERVO1_TRIM,1,800,2200
SERVO20_MIN,1,800,2200
SERVO20_MIN,1,800,2200
SERVO20_MAX,1,800,2200
SERVO20_TRIM,1,800,2200
SERVO21_MIN,1,800,2200
SERVO21_MIN,1,800,2200
SERVO21_MAX,1,800,2200
SERVO21_TRIM,1,800,2200
SERVO22_MIN,1,800,2200
SERVO22_MIN,1,800,2200
SERVO22_MAX,1,800,2200
SERVO22_TRIM,1,800,2200
SERVO23_MIN,1,800,2200
SERVO23_MIN,1,800,2200
SERVO23_MAX,1,800,2200
SERVO23_TRIM,1,800,2200
SERVO24_MIN,1,800,2200
SERVO24_MIN,1,800,2200
SERVO24_MAX,1,800,2200
SERVO24_TRIM,1,800,2200
SERVO25_MIN,1,800,2200
SERVO25_MIN,1,800,2200
SERVO25_MAX,1,800,2200
SERVO25_TRIM,1,800,2200
SERVO26_MIN,1,800,2200
SERVO26_MIN,1,800,2200
SERVO26_MAX,1,800,2200
SERVO26_TRIM,1,800,2200
SERVO27_MIN,1,800,2200
SERVO27_MIN,1,800,2200
SERVO27_MAX,1,800,2200
SERVO27_TRIM,1,800,2200
SERVO28_MIN,1,800,2200
SERVO28_MIN,1,800,2200
SERVO28_MAX,1,800,2200
SERVO28_TRIM,1,800,2200
SERVO29_MIN,1,800,2200
SERVO29_MIN,1,800,2200
SERVO29_MAX,1,800,2200
SERVO29_TRIM,1,800,2200
SERVO2_MIN,1,800,2200
SERVO2_MIN,1,800,2200
SERVO2_MAX,1,800,2200
SERVO2_TRIM,1,800,2200
SERVO30_MIN,1,800,2200
SERVO30_MIN,1,800,2200
SERVO30_MAX,1,800,2200
SERVO30_TRIM,1,800,2200
SERVO31_MIN,1,800,2200
SERVO31_MIN,1,800,2200
SERVO31_MAX,1,800,2200
SERVO31_TRIM,1,800,2200
SERVO32_MIN,1,800,2200
SERVO32_MIN,1,800,2200
SERVO32_MAX,1,800,2200
SERVO32_TRIM,1,800,2200
SERVO3_MIN,1,800,2200
SERVO3_MIN,1,800,2200
SERVO3_MAX,1,800,2200
SERVO3_TRIM,1,800,2200
SERVO4_MIN,1,800,2200
SERVO4_MIN,1,800,2200
SERVO4_MAX,1,800,2200
SERVO4_TRIM,1,800,2200
SERVO5_MIN,1,800,2200
SERVO5_MIN,1,800,2200
SERVO5_MAX,1,800,2200
SERVO5_TRIM,1,800,2200
SERVO6_MIN,1,800,2200
SERVO6_MIN,1,800,2200
SERVO6_MAX,1,800,2200
SERVO6_TRIM,1,800,2200
SERVO7_MIN,1,800,2200
SERVO7_MIN,1,800,2200
SERVO7_MAX,1,800,2200
SERVO7_TRIM,1,800,2200
SERVO8_MIN,1,800,2200
SERVO8_MIN,1,800,2200
SERVO8_MAX,1,800,2200
SERVO8_TRIM,1,800,2200
SERVO9_MIN,1,800,2200
SERVO9_MIN,1,800,2200
SERVO9_MAX,1,800,2200
SERVO9_TRIM,1,800,2200
SIM_PLD_HEIGHT,1,0,10000
SIM_PLD_LAT,0.000001,-90,90
SIM_PLD_LON,0.000001,-180,180
SIM_PLD_YAW,1,-180,+180
SR0_RAW_SENS,1,0,50
SR0_RAW_SENS,1,0,50
SR0_EXT_STAT,1,0,50
SR0_RC_CHAN,1,0,50
SR0_RAW_CTRL,1,0,50
SR0_POSITION,1,0,50
SR0_EXTRA1,1,0,50
SR0_EXTRA3,1,0,50
SR0_PARAMS,1,0,50
SR0_ADSB,1,0,50
SR1_RAW_SENS,1,0,50
SR1_RAW_SENS,1,0,50
SR1_EXT_STAT,1,0,50
SR1_RC_CHAN,1,0,50
SR1_RAW_CTRL,1,0,50
SR1_POSITION,1,0,50
SR1_EXTRA1,1,0,50
SR1_EXTRA3,1,0,50
SR1_PARAMS,1,0,50
SR1_ADSB,1,0,50
SR2_RAW_SENS,1,0,50
SR2_RAW_SENS,1,0,50
SR2_EXT_STAT,1,0,50
SR2_RC_CHAN,1,0,50
SR2_RAW_CTRL,1,0,50
SR2_POSITION,1,0,50
SR2_EXTRA1,1,0,50
SR2_EXTRA3,1,0,50
SR2_PARAMS,1,0,50
SR2_ADSB,1,0,50
SR3_RAW_SENS,1,0,50
SR3_RAW_SENS,1,0,50
SR3_EXT_STAT,1,0,50
SR3_RC_CHAN,1,0,50
SR3_RAW_CTRL,1,0,50
SR3_POSITION,1,0,50
SR3_EXTRA1,1,0,50
SR3_EXTRA3,1,0,50
SR3_PARAMS,1,0,50
SR3_ADSB,1,0,50
SR4_RAW_SENS,1,0,50
SR4_RAW_SENS,1,0,50
SR4_EXT_STAT,1,0,50
SR4_RC_CHAN,1,0,50
SR4_RAW_CTRL,1,0,50
SR4_POSITION,1,0,50
SR4_EXTRA1,1,0,50
SR4_EXTRA3,1,0,50
SR4_PARAMS,1,0,50
SR4_ADSB,1,0,50
SR5_RAW_SENS,1,0,50
SR5_RAW_SENS,1,0,50
SR5_EXT_STAT,1,0,50
SR5_RC_CHAN,1,0,50
SR5_RAW_CTRL,1,0,50
SR5_POSITION,1,0,50
SR5_EXTRA1,1,0,50
SR5_EXTRA3,1,0,50
SR5_PARAMS,1,0,50
SR5_ADSB,1,0,50
SR6_RAW_SENS,1,0,50
SR6_RAW_SENS,1,0,50
SR6_EXT_STAT,1,0,50
SR6_RC_CHAN,1,0,50
SR6_RAW_CTRL,1,0,50
SR6_POSITION,1,0,50
SR6_EXTRA1,1,0,50
SR6_EXTRA3,1,0,50
SR6_PARAMS,1,0,50
SR6_ADSB,1,0,50
STEER2SRV_TCONST,0.1,0.4,1.0
STEER2SRV_TCONST,0.1,0.4,1.0
STEER2SRV_IMAX,10,0,4500
STEER2SRV_MINSPD,0.1,0,5
STEER2SRV_DRTSPD,0.1,0.0,30.0
STEER2SRV_DRTFCT,0.1,0.0,50.0
STEER2SRV_DRTMIN,10,0,4500
TECS_APPR_SMAX,0.1,0.0,20.0
TECS_LAND_SRC,0.1,-2.0,2.0
TECS_HDEM_TCONST,0.2,1.0,5.0
TKOFF_ALT,1,0,200
TKOFF_ALT,1,0,200
TKOFF_LVL_ALT,1,0,50
TKOFF_LVL_PITCH,1,0,30
TKOFF_DIST,1,0,500
TKOFF_GND_PITCH,0.1,-5.0,10.0
VISO_POS_X,0.01,-5,5
VISO_POS_Y,0.01,-5,5
VISO_POS_Z,0.01,-5,5
YAW_RATE_FLTT,1,2,50
YAW_RATE_FLTE,1,2,50
YAW_RATE_FLTD,1,0,50
